symbol,horizon,mae,rmse,mape,directional_accuracy,status,error
ADANIGREEN,3d,6.071204513274606,7.711005927897705,794.9902310373002,44.96124031007752,SUCCESS,
ADANIGREEN,5d,9.67916357718355,11.582898619353148,663.0986260366892,47.85992217898833,SUCCESS,
ADANIGREEN,1w,10.512289044345719,12.508591381783049,1618.175132181749,37.7431906614786,SUCCESS,
ADANIGREEN,1mo,16.34684622766308,19.36839272577332,660.0360105072422,49.2063492063492,SUCCESS,
ADANIPORTS,1d,1.9557152357910235,2.718387792887737,449.50564652299903,59.383033419023135,SUCCESS,
ADANIPORTS,3d,3.5844301237123775,4.8386591439180044,439.62220917383644,55.5984555984556,SUCCESS,
ADANIPORTS,5d,4.743893460955749,6.305899765165364,324.19708485268626,55.98455598455598,SUCCESS,
ADANIPORTS,1w,5.4598681106964415,7.166446237959289,368.438569523141,60.231660231660236,SUCCESS,
ADANIPORTS,1mo,9.381301951681476,12.15455187967446,213.84019785159455,54.274611398963735,SUCCESS,
ADANIPOWER,1d,2.9890661872322166,3.918877836473275,192.78628694945138,45.16594516594517,SUCCESS,
ADANIPOWER,3d,7.003412917068498,9.205191540381062,455.889403790576,52.669552669552665,SUCCESS,
ADANIPOWER,5d,7.63900725848447,10.311109638055632,213.9783710474866,52.669552669552665,SUCCESS,
ADANIPOWER,1w,8.715866180037967,11.428361314053552,309.34318011928906,47.832369942196536,SUCCESS,
ADANIPOWER,1mo,16.6058512760625,18.85476587092537,196.14530560679938,39.825581395348834,SUCCESS,
ADFFOODS,1d,2.204633722096095,3.065734956539039,326.8757402844633,55.85023400936038,SUCCESS,
ADFFOODS,3d,4.186479372577718,5.884536690004579,394.0516144676905,51.40625,SUCCESS,
ADFFOODS,5d,5.964181589755752,7.780700548697649,562.8984409540226,48.59375,SUCCESS,
ADFFOODS,1w,5.792076208278303,7.5537258279959945,579.2131291715779,52.738654147104846,SUCCESS,
ADFFOODS,1mo,10.191922185346172,12.505665540763498,287.37265893341873,59.21259842519685,SUCCESS,
ADL,1d,2.6732306134584167,3.2990571013840344,218.89253418293757,53.79310344827586,SUCCESS,
ADL,3d,4.3686471548218515,5.27758229792274,363.175867361762,47.58620689655172,SUCCESS,
ADL,5d,6.489423118370833,7.758072863845655,596.474509102261,56.55172413793104,SUCCESS,
ADL,1w,6.6131600524237335,8.02297056065732,244.526849853361,43.05555555555556,SUCCESS,
ADL,1mo,12.40742361463558,14.406336740174858,353.98282665747115,43.57142857142857,SUCCESS,
ADORWELD,1d,2.2240183283739356,3.1066458861030664,274.08668756581284,49.667616334283,SUCCESS,
ADORWELD,3d,3.795875165135195,5.096439596432945,255.69901353515633,52.37642585551331,SUCCESS,
ADORWELD,5d,5.624781892726161,7.25759949616846,475.7239856171067,52.09125475285171,SUCCESS,
ADORWELD,1w,7.48879372840039,9.315823588168925,483.43346500170554,52.33111322549953,SUCCESS,
ADORWELD,1mo,12.610342717467853,15.744513935325337,345.03907891803715,48.71060171919771,SUCCESS,
ADROITINFO,1d,3.0318968555369947,3.790490421999119,122.6431958289862,51.53846153846153,SUCCESS,
